id,text
461019788_bc0993dabd,Two people embrace on the end of a dock .
47870024_73a4481f7d,A child on a scooter is jumping the curb .
47871819_db55ac4699,Two women in soccer uniforms playing soccer .
489134459_1b3f46fc03,A little girl leans on a concrete wall next to a blue door where a shirtless child sits .
523327429_af093fc7cf,A man in a grey shirt and backpack is offering poems for a Giants ticket .
531197115_2be4d5034b,A man walks under a sign advertising a beauty parlor affixed to a dilapidated building .
534875358_6ea30d3091,"A woman walking , wearing a green shirt and jeans"
534886684_a6c9f40fa1,The man in the denim outfit walks a black and tan dog on a crosswalk .
535249787_0fcaa613a0,A little boy hits a baseball while his family watches
613900608_2e49415772,A woman with beads around her neck is performing a dance as part of a parade .
615916000_5044047d71,A woman is wearing black with gold sequins and spangles .
616045808_0286d0574b,"A woman wearing black and pink and large , feathered hat rides a bike in a parade ."
616177206_0e16c33f6b,A police officer has his arm around a woman on the street .
617038406_4092ee91dd,Kids looking in an old woman 's grocery paper bag .
633456174_b768c1d6cd,A boy throws an object in front of a glass building .
635444010_bd81c89ab7,A woman with a pink boa walks down a sidewalk .
823697339_aadbeef495,Two girls stand outside of a shop .
824123145_59243e504e,Walkers on a concrete boardwalk under a blue sky .
848180689_d67a1361ce,The mother and daughter are batting a ball in the air to each other at the water park .
894928353_002a3d5f06,Three kids play on some bars .
972381743_5677b420ab,a woman with a shaved head dressed in black and white in a parade
10815824_2997e03d76,"A man , and girl and two horses are near a contained fire ."
109671650_f7bbc297fa,A young child is standing alone on some jagged rocks .
109738763_90541ef30d,Rider jumps snowmobile high in rural area .
109738916_236dc456ac,Three people and two snowmobiles .
109823394_83fcb735e1,three people on four wheel ATV 's in a field .
109823395_6fb423a90f,Man jumping with all terrain vehicle
109823397_e35154645f,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
110595925_f3395c8bd6,"Man bicycle up a road , while cows graze on a hill nearby ."
111497985_38e9f88856,The person has a striped shirt on and is holding on to a rope on a mountain .
111537217_082a4ba060,"Man with red shoes , white shirt and grey pants climbing ."
111537222_07e56d5a30,A woman in purple snakeskin pants climbs a rock .
111766423_4522d36e56,Black and white bird standing on hand of someone holding sunflower seeds
112178718_87270d9b4d,A man with his surfboard stands in the sand .
131632409_4de0d4e710,Woman in a bikini top is walking on the beach
136644885_f7d2bbf546,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area .
136886677_6026c622eb,Two men paddling a canoe down a narrow stream .
138705546_be7a6845dd,"Two little girls in bathing suits sit on the shore of a lake , watching someone fishing from a boat ."
138718600_f430ebca17,"Two people are sitting by a pond , next to their bikes ."
140377584_12bdbdf2f8,A rock climber ascends .
140430106_2978fda105,A lean dog runs along the beach .
140526326_da07305c1c,The male rock climber takes a look over his shoulder at the view of the lake and city .
140526327_3cb984de09,"A man rock climbing , with a city and a bay in the background ."
17273391_55cfc7d3d4,A man fishing near a large tree .
19212715_20476497a3,A person rows a boat over a large body of water .
23445819_3a458716c1,two puppies playing around in the grass
2747436384_9470c56cb9,Four young men are sitting on the beach under a crashing wave .
2747640247_b54bfa6886,A girl swinging from a tree on a rope over crashing waves .
2752230113_b5dab6f0f1,The little girl in the pink shirt is walking ahead of a man and woman on the side of the body of water
2752329719_868545b7d2,Two adults sitting in chairs overlooking the ocean
2752331711_cb18abba5a,Man sits on chair near edge of cliff fishing
2756636539_cc1eacbf4a,The black dog is in the water on the shore .
2756765580_9e57e10f0d,A boy leaping to perform a toe-touch in front of a tree .
2757779501_c41c86a595,A shirtless person with jeans is climbing a rocky mountainside .
2764178773_d63b502812,a man is performing an aerial jump on a bicycle in front of a mountain covered with pine trees .
2765029348_667111fc30,A man is doing a back flip whilst attempting a jump on a bicycle .
2805873509_4f68afc4b4,A man with a backpack on a hill next to a rock outcroping .
2806710650_e201acd913,A woman walking across a hill with dark clouds in the background .
3358682439_be4b83544c,Two women pet a baby kangaroo in the park .
3422219732_3d0be52cc3,A skier goes down a near vertical slope .
3532194771_07faf20d76,A surfer walking into the ocean
3532200762_b28c39d311,A woman runs along a rocky shore .
3534046564_4f8546e364,Two dogs face off in the park .
3537218226_478d2e4f26,Two people are rock climbing .
3563673070_71fa0903ed,a man paddling a red kayak
3563871276_c8b2a00df5,There is a person on a sailboard with an orange and yellow sail out on the water .
3569667295_6e51db08ef,An open-mouthed dog is running through the water .
3585488964_1467945775,Two tan and white dogs and one tan dog racing down the beach near the water .
3593220756_5c416c3ceb,Surfer leaning back on surfboard .
3593222804_c187808ac3,The man on the brown surfboard has created a large splash that soaks the two other surfers standing by .
3594029059_cee1f4c59a,An eagle swoops down low almost to the ground .
3597924257_d0da3c5fe6,The brown dog runs through the field .
3623302162_099f983d58,The white dog is running around in the grass .
3634281981_d9cf1d1a33,Mountain biker approaching a cliffside vista
3637013_c675de7705,Two people stand by the water .
3640329164_20cb245fd5,A surfer wearing a black and green wetsuit riding a wave .
3640870001_acbd1d5ceb,Grey dog in a stream surrounded by trees and shrubs .
3641022607_e7a5455d6c,A man windsurfs in a wetsuit .
3642220260_3aa8a52670,a black dog walks on the sand .
36422830_55c844bc2d,A red truck is driving over a rocky surface .
3647693147_0d0434351b,Boy playing with leaves in the woods .
3647750811_395fbd397e,"Black , brown and white dog crouches on three legs in the grass ."
3655773435_c234e94820,A dog in a pool .
3656104088_a0d1642fa9,One bird is landing on the shore near many other birds .
3656151153_b4ed5d94c4,A young girl is walking down a sandy path by a large body of water .
3656206975_09e6ce58bd,Someone splashing in the water .
3690107455_0fdb4ecee7,Woman in black sports bra and shorts standing on an rocky elevation .
3693961165_9d6c333d5b,A large black dog runs along a fence in the grass .
3715559023_70c41b31c7,A person sitting on a rock by a fall .
3719461451_07de35af3a,The white pelican is flying over the ocean .
3745451546_fc8ec70cbd,A person walks up a white sandy hill against the blue sky .
3747543364_bf5b548527,three little girls cartwheel in the ocean .
383223174_7165a54c30,A tan dog rests his head in the sand .
384465370_9918873f9a,Two people ride their bikes down a dirt road .
384465575_31294122c0,Two friends bike down a hill .
400851260_5911898657,A person stands in a snowy area looking down .
401476986_73918145a3,A German shepherd leaps in midair .
405970010_8cebaa77d3,a man wearing a huge backpack and blue jacket with many distant mountains in the background
406248253_27b5eba25a,Two small children in snow clothes are walking through the snow while one carries a red sled
406642021_9ec852eccf,A mean wearing a red shirt clinging to a rock face .
407008823_bdd7fc6ed5,A man dressed in snow-gear takes a leap into a snow-covered ravine .
407678652_1f475acd65,Five people with backpacks hiking down a rocky hill .
408233586_f2c1be3ce1,A dog is shaking off water in a lake as a red and green tennis ball floats by .
41999070_838089137e,Many dogs are swimming and playing in a fountain in a public park .
452363869_cad37e609f,A dog chases a ball in the grass .
494792770_2c5f767ac0,Brown dog with mouth open standing amidst greenery .
49553964_cee950f3ba,A man windsurfing .
497579819_f91b26f7d3,Small dog looking into background
50030244_02cd4de372,The cats are lazily laying in the field of dry grass .
512991147_dc48e6839c,Person walking across a large puddle of water in a park .
513116697_ad0f4dc800,The skier does a flip .
53043785_c468d6f931,A man stands on top of an elephant in the water .
54501196_a9ac9d66f2,A hiker poses for a picture in front of stunning mountains and clouds .
54723805_bcf7af3f16,People on a snowy hill .
55135290_9bed5c4ca3,A person in a red shirt doing tricks on a bicycle .
55470226_52ff517151,A mountain climber stops for a drink .
55473406_1d2271c1f2,A person in red snow gear is kneeling on a snowy ridge under a blue sky .
56489627_e1de43de34,A man travels with two donkeys in the mountains
56494233_1824005879,A person with a backpack stands on a snowy mountain .
57417274_d55d34e93e,A group of people sitting on top of rocks with snow covered mountains on both sides of them .
57422853_b5f6366081,A person sticks their head out of a tent at the top of a mountain .
58357057_dea882479e,a man stands on top of a mountain .
667626_18933d713e,"A young girl is lying in the sand , while ocean water is surrounding her ."
697582336_601462e052,a brown and black dog on the grass
78984436_ad96eaa802,Two German shepherd dogs are running with an object in one 's mouth .
84713990_d3f3cef78b,Several people are rafting down a choppy river in rocky terrain .
90011335_cfdf9674c2,A white boat on glassy water with mountains in the background .
96973080_783e375945,A dog runs through the snow .
96985174_31d4c6f06d,The person is walking in the mountains .
